연도,월,일반(1회권),일반(교통카드),일반(정기권),청소년(교통카드),어린이(1회권),어린이(교통카드),우대(1회권),우대(교통카드),기타(단체권 등)
2012년,1월,2.50%,73.50%,3.50%,6.30%,0.50%,0.70%,0.90%,11.60%,0.50%
2012년,2월,2.50%,73.70%,3.60%,6.10%,0.40%,0.60%,0.90%,11.70%,0.50%
2012년,3월,2.10%,73.00%,3.90%,6.80%,0.20%,0.50%,0.90%,12.00%,0.50%
2012년,4월,2.10%,73.20%,3.90%,6.40%,0.20%,0.50%,0.90%,12.20%,0.60%
2012년,5월,2.10%,72.70%,3.80%,6.80%,0.30%,0.60%,0.90%,12.20%,0.60%
2012년,6월,2.10%,73.40%,3.80%,6.00%,0.30%,0.60%,0.90%,12.50%,0.60%
2012년,7월,2.20%,73.40%,3.70%,6.10%,0.40%,0.60%,0.90%,12.20%,0.60%
2012년,8월,2.40%,73.50%,3.50%,5.90%,0.50%,0.70%,0.80%,12.10%,0.60%
2012년,9월,2.00%,74.00%,3.50%,5.80%,0.30%,0.50%,0.90%,12.60%,0.60%
2012년,10월,2.10%,73.80%,3.50%,5.70%,0.30%,0.60%,0.90%,12.50%,0.60%
2012년,11월,2.00%,74.40%,3.50%,6.00%,0.30%,0.50%,0.80%,12.00%,0.60%
2012년,12월,2.10%,74.80%,3.20%,6.00%,0.40%,0.60%,0.80%,11.60%,0.50%
2013년,1월,1.90%,75.00%,3.30%,5.40%,0.40%,0.70%,0.80%,11.80%,0.60%
2013년,2월,2.10%,74.70%,3.10%,5.80%,0.40%,0.70%,0.80%,11.80%,0.60%
2013년,3월,1.90%,73.90%,3.30%,6.40%,0.30%,0.60%,0.80%,12.30%,0.50%
2013년,4월,1.60%,74.40%,3.40%,6.00%,0.20%,0.50%,0.80%,12.50%,0.60%
2013년,5월,1.80%,73.60%,3.40%,6.50%,0.30%,0.70%,0.80%,12.50%,0.60%
2013년,6월,1.80%,74.10%,3.30%,5.80%,0.30%,0.60%,0.80%,12.80%,0.60%
2013년,7월,1.80%,74.30%,3.30%,5.80%,0.40%,0.70%,0.70%,12.30%,0.60%
2013년,8월,2.10%,74.00%,3.10%,5.70%,0.50%,0.80%,0.80%,12.50%,0.60%
2013년,9월,1.90%,74.60%,3.00%,5.70%,0.30%,0.60%,0.80%,12.70%,0.60%
2013년,10월,1.80%,74.50%,3.10%,5.50%,0.30%,0.60%,0.80%,12.80%,0.60%
2013년,11월,1.80%,75.00%,3.20%,5.70%,0.20%,0.60%,0.70%,12.20%,0.60%
2013년,12월,1.90%,74.90%,3.00%,5.70%,0.30%,0.70%,0.70%,12.20%,0.60%
2014년,1월,1.80%,75.10%,3.00%,5.30%,0.40%,0.70%,0.70%,12.30%,0.60%
2014년,2월,1.90%,74.90%,3.00%,5.60%,0.30%,0.70%,0.70%,12.30%,0.60%
2014년,3월,1.70%,74.60%,3.10%,6.00%,0.20%,0.60%,0.70%,12.60%,0.50%
2014년,4월,1.60%,75.00%,3.10%,5.60%,0.20%,0.60%,0.70%,12.70%,0.60%
2014년,5월,1.70%,74.10%,3.00%,6.10%,0.30%,0.80%,0.70%,12.70%,0.60%
2014년,6월,1.70%,74.70%,3.00%,5.50%,0.30%,0.70%,0.70%,12.90%,0.60%
2014년,7월,1.70%,74.90%,3.00%,5.50%,0.30%,0.70%,0.70%,12.50%,0.60%
2014년,8월,2.00%,74.40%,2.80%,5.50%,0.50%,0.90%,0.70%,12.60%,0.60%
2014년,9월,1.70%,75.20%,2.80%,5.30%,0.20%,0.60%,0.70%,12.80%,0.60%
2014년,10월,1.70%,75.00%,2.90%,5.30%,0.30%,0.70%,0.70%,12.90%,0.50%
2014년,11월,1.70%,75.30%,3.00%,5.30%,0.20%,0.60%,0.70%,12.60%,0.60%
2014년,12월,1.70%,75.50%,2.90%,5.40%,0.30%,0.70%,0.70%,12.30%,0.60%
2015년,1월,1.60%,75.30%,3.00%,5.00%,0.40%,0.80%,0.70%,12.70%,0.60%
2015년,2월,1.80%,75.00%,2.60%,5.40%,0.30%,0.80%,0.70%,12.70%,0.60%
2015년,3월,1.50%,75.00%,3.00%,5.60%,0.20%,0.60%,0.70%,12.80%,0.60%
2015년,4월,1.40%,75.20%,3.00%,5.30%,0.20%,0.60%,0.60%,13.00%,0.60%
2015년,5월,1.70%,74.00%,2.90%,5.90%,0.30%,0.90%,0.70%,13.00%,0.60%
2015년,6월,1.10%,76.10%,3.40%,5.00%,0.10%,0.50%,0.60%,12.60%,0.70%
2015년,7월,1.20%,74.70%,3.30%,5.20%,0.30%,0.70%,0.60%,13.20%,0.70%
2015년,8월,1.60%,74.30%,3.00%,5.30%,0.40%,0.90%,0.70%,13.30%,0.60%
2015년,9월,1.40%,75.10%,3.00%,5.10%,0.20%,0.70%,0.70%,13.30%,0.60%
2015년,10월,1.50%,74.70%,3.00%,5.10%,0.20%,0.80%,0.70%,13.30%,0.60%
2015년,11월,1.50%,75.40%,3.00%,5.10%,0.20%,0.70%,0.60%,12.90%,0.60%
2015년,12월,1.50%,75.00%,2.90%,5.30%,0.20%,0.80%,0.60%,13.00%,0.60%
2016년,1월,1.50%,75.50%,3.00%,4.90%,0.30%,0.80%,0.60%,12.90%,0.50%
2016년,2월,1.60%,75.10%,2.70%,5.20%,0.30%,0.90%,0.70%,13.00%,0.50%
2016년,3월,1.40%,75.10%,3.00%,5.30%,0.10%,0.70%,0.60%,13.30%,0.50%
2016년,4월,1.40%,75.00%,3.00%,5.10%,0.20%,0.70%,0.60%,13.40%,0.50%
2016년,5월,1.50%,74.50%,2.90%,5.60%,0.20%,0.90%,0.60%,13.20%,0.60%
2016년,6월,1.40%,75.20%,3.00%,4.80%,0.20%,0.70%,0.60%,13.50%,0.60%
2016년,7월,1.60%,75.10%,2.90%,5.10%,0.30%,0.90%,0.60%,13.00%,0.70%
2016년,8월,1.60%,75.20%,2.80%,4.90%,0.30%,0.90%,0.60%,13.10%,0.60%
2016년,9월,1.40%,75.40%,2.70%,4.80%,0.20%,0.80%,0.60%,13.40%,0.70%
2016년,10월,1.50%,75.10%,2.80%,4.80%,0.20%,0.80%,0.60%,13.40%,0.70%
2016년,11월,1.40%,76.10%,2.80%,4.70%,0.20%,0.70%,0.60%,12.90%,0.70%
2016년,12월,1.40%,75.40%,2.70%,5.00%,0.20%,0.90%,0.60%,13.10%,0.60%
